Date	input3...9.	UT...5.	ReturnAUM.RGE	AdjAUM.AdjGE	GE_USDCAD	SPX_USDCAD	EU_USDCAD	UK_GBPCAD	JP_JPYCAD
08/24/2017	20701286144	0	20607478943	20804194183	-0.004531467	-0.00537067	-0.002571608	0.000248301	-0.011504969
08/25/2017	20704151598	0	20713719816	20607478943	0.00046214	-0.000446894	0.002372336	0.003358902	0.003805302
08/28/2017	20687544083	0	20671567669	20713719816	-0.000772272	-0.00119426	0.000541258	0.002236997	0.00286564
08/29/2017	20722740433	0	20761458899	20671567669	0.001868405	0.003249634	-0.002167491	-0.004717315	-0.008674056
08/30/2017	20947607831	0	21161514468	20761458899	0.010211507	0.013452211	0.006561276	0.010456732	0.01177591
08/31/2017	20952506314	0	20954985299	21161514468	0.000118315	-0.000457575	-0.000678079	-0.000131225	-0.001424713
09/01/2017	20764002728	0	20568454993	20954985299	-0.009417632	-0.010564777	-0.007386307	-0.00470236	-0.007190447
09/05/2017	20584539679	0	20374063214	20568454993	-0.010224978	-0.013346209	-0.00615942	-0.005541531	-0.001393717
09/06/2017	20469319698	0	20335817258	20374063214	-0.006522075	-0.005729795	-0.006905445	-0.008162107	-0.017084353
09/07/2017	20374469664	0	20293335237	20335817258	-0.003982161	-0.00712507	0.001507057	0.001863739	5.79E-05
09/08/2017	20384466968	0	20389389595	20293335237	0.000241489	-0.001242217	0.002832244	0.003266476	0.002940926
09/11/2017	20531088356	0	20689914518	20389389595	0.007735886	0.009674666	0.006150433	0.003811997	-0.004559585
09/12/2017	20618406285	0	20694118223	20689914518	0.003672056	0.003818646	0.003171398	0.004902959	0.01115255
09/13/2017	20690654573	0	20759278187	20694118223	0.003316648	0.004836407	0.00078898	-0.001567369	0.000641671
09/14/2017	20653296581	0	20621363135	20759278187	-0.001546167	-0.00114168	-0.002575237	-0.002477091	-0.001472782
09/15/2017	20654605581	0	20669989152	20621363135	0.000744801	0.000368192	0.003336591	0.005694296	0.002310596
09/18/2017	20751240209	0	20852106090	20669989152	0.004860716	0.004828464	0.005874564	0.00405578	0.001226882
09/19/2017	20923229389	0	21105923444	20852106090	0.008731638	0.007051953	0.008426448	0.008186248	0.019406773
09/20/2017	20891005904	0	20856504284	21105923444	-0.001651506	-0.002337949	-0.001894402	-0.000333285	-0.002251858
09/21/2017	20979563721	0	21048526114	20856504284	0.003287122	0.004399764	0.003651971	0.004873682	-0.000430057
09/22/2017	20954459841	6500000	20929796141	21055026114	-0.001177014	-0.002676028	0.001466122	0.001919511	0.002734558
09/25/2017	20974679511	0	20987328521	20929796141	0.000603061	0.001103359	-0.003328152	-0.001038924	0.009954103
09/26/2017	20994146872	0	21011390385	20987328521	0.000821349	0.003799174	-0.004577878	-0.00353842	-0.009650372
09/27/2017	21008876585	0	21036036302	21011390385	0.001292773	0.002383187	-0.000543735	-0.000324824	0.002159114
09/28/2017	21231163000	0	21448281759	21036036302	0.010226419	0.009097351	0.014486564	0.013641475	0.004903243
10/03/2017	21549102798	0	21615756737	21463330663	0.003093119	0.002760173	0.003731224	0.002452283	0.008004422
10/04/2017	21387254545	69000	21346189766	21615825737	-0.001920058	-0.00135503	-0.002823955	-4.08E-05	0.00067405
10/05/2017	21544719030	0	21693992247	21346189766	0.006928529	0.009879107	0.001818531	-0.001112328	0.00649091
10/06/2017	21551552559	0	21552468960	21693992247	4.25E-05	-0.000116736	-0.001512163	-0.003314127	0.001977052
10/10/2017	21537542106	0	21529830973	21552468960	-0.000358032	-0.00222939	0.00200972	0.006056574	0.005623209
10/11/2017	21607025759	0	21675805753	21529830973	0.003183224	0.00348724	0.003936609	-0.001166507	-0.002145657
10/12/2017	21503523467	-18422950.37	21426515699	21657382803	-0.00358117	-0.004917259	-0.002669988	-0.002005285	0.00666171
10/13/2017	21569869189	0	21626053970	21426515699	0.002604781	0.00131938	0.002479852	0.008237096	0.013128544
10/16/2017	21705752257	0	21828798095	21626053970	0.005668812	0.006486416	0.001463768	0.001582878	0.00554701
10/17/2017	21610538803	-130364750	21643062032	21698433345	0.001504971	0.003425651	-0.00359081	-0.006982258	0.004068953
10/18/2017	21470585382	0	21339347755	21643062032	-0.006112438	-0.006898097	-0.002730457	-0.003993393	-0.009718521
10/19/2017	21472095788	-1275000	21473171666	21338072755	5.01E-05	-0.001074965	-0.001151195	-0.001475837	0.009085188
10/20/2017	21755210737	-5.00E+05	22031284467	21472671666	0.012690005	0.016692216	0.008493184	0.010419075	0.003013195
10/23/2017	21784402293	0	21796319203	22031284467	0.000547039	-0.000732478	0.001192794	0.003200525	0.013538566
10/24/2017	21846535032	-2900000	21907725502	21793419203	0.002800923	0.003756632	-8.62E-05	-0.002781743	0.003018642
10/25/2017	21962307390	0	22074969532	21907725502	0.005129795	0.004330478	0.007559664	0.008567024	0.006530535
10/26/2017	22060476945	0	22154119542	22074969532	0.004244813	0.004403221	0.004670676	0.002101683	0.00320843
10/27/2017	22254037567	-277634.39	22460504017	22153841908	0.009277707	0.012945723	-7.26E-05	0.003009285	0.012151845
10/30/2017	22150881117	0	22058922346	22460504017	-0.004151472	-0.00736888	0.000918224	-0.000228146	0.006492864
10/31/2017	22263577330	0	22387119073	22058922346	0.005549052	0.00535084	0.009645371	0.011576851	0.00021775
11/01/2017	22313665036	0	22362546994	22387119073	0.002190674	0.001630921	0.001114161	-0.002405401	0.01185741
11/02/2017	22191692376	-2497000	22072947027	22360049994	-0.005350892	-0.006249604	-0.006174236	-0.011817088	0.001749408
11/03/2017	22110116600	0	22070330625	22072947027	-0.001799447	0.000160269	-0.004910752	-0.002204136	-0.00337576
11/06/2017	22116037562	0	22123430740	22070330625	0.00033429	0.000918522	-0.001732684	0.004091234	-0.001092552
11/07/2017	22158845893	0	22213867941	22123430740	0.002483074	0.002277822	-0.003243392	-0.002736174	0.020449704
11/08/2017	22071340912	2.33E-10	22013733206	22213867941	-0.002610068	-0.003094842	-0.004250956	-0.005298627	-0.003692927
11/09/2017	21955786082	0	21800345145	22013733206	-0.007079725	-0.00700718	-0.010970072	-0.007994134	-0.001906179
11/10/2017	21894621802	-2800000	21833089488	21797545145	-0.002810385	-0.002825247	-0.002255292	-0.000986086	-0.008606807
11/13/2017	21923344794	0	21960548022	21833089488	0.001696969	0.004774626	-0.002654509	-0.006891261	-0.010375528
11/14/2017	21964915837	0	21999154715	21960548022	0.001558798	0.001023333	0.005141261	0.003734045	0.001303634
11/15/2017	21874533759	0	21777748849	21999154715	-0.004424547	-0.004707627	-0.000207913	-0.001422598	-0.008109441
11/16/2017	21957471336	0	22055144410	21777748849	0.004448284	0.005078827	0.002260676	0.001288231	0.01246446
11/17/2017	22068296189	0	22172570044	22055144410	0.004725052	0.003365015	0.003847605	0.005752531	0.011066446
11/20/2017	22069155105	0	22076251555	22172570044	0.000321555	0.00029887	0.002913392	0.004800149	-0.00616039
11/21/2017	22192114392	69993500	22253618313	22146245055	0.002771431	0.003670759	-0.000383639	-0.002474488	0.005198602
11/22/2017	22153711804	0	22121806534	22253618313	-0.001440177	-0.00364711	-0.000413918	0.002251675	0.009329736
11/23/2017	22175717591	0	22199893727	22121806534	0.001090208	-0.000550055	0.004355806	0.000203639	0.001568043
11/24/2017	22200343701	0	22231717020	22199893727	0.001413191	0.000401687	0.005033313	0.001692535	-0.001861397
11/27/2017	22203983247	0	22208853755	22231717020	0.000219353	0.001623161	-0.00409244	-0.002680534	0.00578545
11/28/2017	22481630063	0	22759938298	22208853755	0.012379362	0.016991656	0.0083714	0.009263076	-0.00018117
11/29/2017	22576189065	0	22637477349	22759938298	0.002714731	0.002439263	0.003813158	0.007258781	0.004794694
11/30/2017	22761828127	0	22948279857	22637477349	0.008191422	0.010819407	0.005464801	0.002944098	0.002705077
12/01/2017	22420950049	0	22075076218	22948279857	-0.015426368	-0.013644169	-0.023291524	-0.018514791	-0.009871625
12/04/2017	22399230220	0	22365714846	22075076218	-0.001496273	-0.002856575	0.005909529	0.00252032	-0.007165734
12/05/2017	22322024896	0	22208186554	22365714846	-0.005099821	-0.005816605	-0.005528832	-0.005176509	-0.004281509
12/06/2017	22400082493	0	22486929914	22208186554	0.003877103	0.006389685	0.001776312	0.003888679	-0.009202149
12/07/2017	22590226745	0	22782366451	22486929914	0.008505435	0.008746018	0.006148163	0.004508692	0.012558751
12/08/2017	22736183035	-825000	22885297027	22781541451	0.006558444	0.007229129	0.005785964	0.008593329	0.010132487
12/11/2017	22798830032	0	22866769699	22885297027	0.002979963	0.002421988	0.002428774	0.005999026	0.005356207
12/12/2017	22873460095	0	22942976184	22866769699	0.003039159	0.003497113	0.002946189	0.005417219	-0.002335571
12/13/2017	22844881964	0	22814609186	22942976184	-0.001325145	-0.002258239	-0.001780237	0.000703596	0.000217629
12/14/2017	22766268674	0	22672683975	22814609186	-0.004110674	-0.005000588	-0.003988735	-0.002752711	-0.002996905
12/15/2017	22615268997	-196372999.9	22674511331	22476310975	0.002619572	0.007717232	-0.003930529	-0.003547246	-0.002731607
12/18/2017	22859152894	0	23112959743	22674511331	0.011103073	0.007557635	0.017748762	0.014564912	0.015756745
12/19/2017	22877681522	0	22871260186	23112959743	-0.000280681	0.000104165	-0.000995726	0.000648774	-0.003073457
